date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:47:06	858007/858007	---M--	200	added ('OK')	image/jpeg	etag:%22d1797-568c6ad75512e%22	http://localhost/wp-content/uploads/2018/04/Hindergrund.jpg	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/Hindergrund.jpg	(from http://localhost/)
22:47:06	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:%22286ac-568b75f085a46%22	http://localhost/wp-content/themes/responsive/core/css/fonts/fontawesome-webfont.ttf?v=4.7.0	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/themes/responsive/core/css/fonts/fontawesome-webfont3e6e.ttf	(from http://localhost/wp-content/themes/responsive/core/css/font-awesome.min.css?ver=4.7.0)
22:47:10	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Apr%202018%2020:47:06%20GMT	http://localhost/?p=121	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/indexe856.html	(from http://localhost/plastik/)
22:47:10	2158/2158	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:47:06%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fplastik%2F	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed8efd.json	(from http://localhost/plastik/)
22:47:13	2255/2255	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:47:10%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fplastik%2F&format=xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed989f	(from http://localhost/plastik/)
22:47:15	24420/24420	---M--	200	added ('OK')	image/png	etag:%225f64-56a841a874919%22	http://localhost/wp-content/uploads/2018/04/kunststoffe-plaste-02-300x57.png	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-content/uploads/2018/04/kunststoffe-plaste-02-300x57.png	(from http://localhost/plastik/)
22:47:17	2163/2163	---M--	200	added ('OK')	application/json	date:Sat,%2028%20Apr%202018%2020:47:13%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fweiteres%2F	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed92a9.json	(from http://localhost/weiteres/)
22:47:17	13947/13947	---MC-	200	added ('OK')	text/html	date:Sat,%2028%20Apr%202018%2020:47:13%20GMT	http://localhost/2018/03/	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/2018/03/index.html	(from http://localhost/plastik/)
22:47:18	3/3	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2028%20Apr%202018%2020:47:15%20GMT	http://localhost/?p=310	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/index90b2.html	(from http://localhost/weiteres/)
22:47:21	2260/2260	---M--	200	added ('OK')	text/xml	date:Sat,%2028%20Apr%202018%2020:47:17%20GMT	http://localhost/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%2Fweiteres%2F&format=xml	C:/Users/Pia/Desktop/MeineWeb/Plastik/localhost/wp-json/oembed/1.0/embed9087	(from http://localhost/weiteres/)
